Text,Type
2012,Year
romantic comedy,Genre
val kilmer,Actor
a talented but brooding rock star and singer,Plot
michael mann,Director
biopic,Genre
vincente minnelli,Actor
judy garland,Actor
1944,Year
four sisters and the world s fair,Plot
warren beatty,Actor
faye dunaway,Actor
real life depression era bank robbers,Plot
1967,Year
classic,Opinion
arthur penn,Director
warren beatty,Actor
faye dunaway,Actor
bank robbing couple in this romanticized account of their career,Plot
1967,Year
madea,Character_Name
animated,Genre
gore verbinski,Director
johnny depp,Actor
funny,Opinion
jonah hill,Actor
russel brand,Actor
italian,Genre
a real man who goes from peasant to a bandit cult figure,Plot
spike lee,Director
examines racial tensions in a new york city community on the hottest day of the summer,Plot
70 s,Year
two college kids one rich one poor who fall in love,Plot
christopher nolan,Director
leo dicaprio,Actor
joseph gordon levitt,Actor
jumping into dreams of people,Plot
indie,Genre
early 90 s,Year
river pheonix,Actor
keanu reeves,Actor
play street hustlers,Plot
childrens,Genre
lion named simba and a bunch of singing animals,Plot
musical,Genre
tim curry,Actor
robert de niro,Actor
was a marine who was discharged and now lives in nyc,Plot
julie andrews,Actor
all those kids that she s taking care of that takes place in the alps,Plot
quinten tarantino,Director
jamie foxx,Actor
gregory peck,Actor
sci fi,Genre
keanu reeves,Actor
he kills machines because they re eating their energy,Plot
1980,Year
classic,Opinion
a car that takes,Plot
michael j fox,Actor
into the past,Plot
1998,Year
romance,Genre
joseph fiennes,Actor
gwyneth paltrow,Actor
star crossed lovers in elizabethan england,Plot
action,Genre
takes place in the ocean and is based on a popular board game,Plot
animated,Genre
a young kid who interacts with dragons with his friends,Plot
animated,Genre
animated,Genre
with birds,Plot
classic good versus evil where the weak birds save the day,Plot
baseball movie,Genre
based on a true story,Origin
i consider myself the luckiest man alive,Quote
baseball,Genre
robert redford,Actor
a malamud novel,Origin
black and white,Plot
color,Plot
big tornado takes a girl and her dog away,Plot
scorcese,Director
robert deniro,Actor
based on the life of boxer,Plot
jake lamotta,Character_Name
that examines the relationships between different groups that work for a traveling circus,Plot
classic,Opinion
japanese,Genre
murder is investigated from a variety of perspectives,Plot
classic,Opinion
1940 s,Year
morocco during the war,Plot
classic musical,Genre
young kansas girl who goes on an adventure in a mysterious land,Plot
documentary,Genre
1936,Year
about the great plains suffering from the dust bowl,Plot
classic,Opinion
bogie,Actor
bacall,Actor
mostly takes place in a hotel during a hurricane,Plot
comedy,Genre
a middle aged couple who go out for an evening and find themselves wrapped up in an adventure,Plot
comedy classic,Genre
jack lemmon,Actor
tony curtis,Actor
spend much of the movie in women s clothing,Plot
early 1980 s,Year
david bowie,Actor
a sister who must track down her brother in a fantastical world,Plot
peter lorre,Actor
plays a child murderer,Plot
famous,Opinion
musical,Genre
a jewish ghetto in russia,Plot
charlie brown,Character_Name
the whole gang together to celebrate the holidays,Plot
young harry is magically whisked away from his abusive aunt and uncle and taken to hogwarts,Plot
funny horror,Genre
features little flesh eating fish as the main antagonists,Plot
golden globe winner,Award
a goofy cia plot to extract hidden americans from iran in 1980,Plot
heavy drama,Genre
about addiction in various forms from chemical abuse to addiction to television,Plot
hitchcock,Director
jimmy stewart,Actor
becomes obsessed with a woman who has been dead a very long time,Plot
horror,Genre
a sweet little girl and the possession that makes her not so sweet,Plot
indie,Genre
river phoenix,Actor
keanu reeves,Actor
go on an extended road trip,Plot
kubrick,Director
set in the future and involves,Plot
alex,Character_Name
and his band of thugs,Plot
leisurely,Opinion
french comedy,Genre
traces the making of a fictional movie and the characters making it,Plot
crime,Genre
a screenwriter finds the piece he s working on is coming to life,Plot
sequel,Relationship
an antagonist who can shift his shape like liquid silver,Plot
a guy and his crew who go down the amazon in search of the lost city of gold,Plot
a serial killer who chooses his victims based on their infraction of one of the deadly sins,Plot
based on a 1980 s television show,Origin
a group of misfits who fight bad guys,Plot
based on a charles portis novel,Origin
a killer joining forces with a young girl,Plot
based on a ray bradbury novel,Origin
a fireman who burns books in the near future,Plot
based on a real person,Origin
who manages to transform how baseball teams are run,Plot
tom stoppard play,Origin
hamlet,Plot
based on a true story,Origin
a guy who is a talented con man and good at escaping prison,Plot
based on the shakespeare play,Origin
a black man who gets consumed with jealousy over his white wife,Plot
one of several in a horror series,Relationship
a group of people must escape an elaborate trap or die,Plot
sequel,Relationship
based on homer s odyssey,Origin
starts in a small pennsylvania community goes to vietnam then returns,Plot
the first in a series,Relationship
a crew that lands on a planet and finds a bunch of eggs,Plot
a crazy guys owns a hotel and he dresses like his dead mother,Plot
a doctor and a housewife keep meeting at a train station and have an affair,Plot
killer is supposed to kill his future self but he does n t,Plot
a man is obsessed with visions of a mesa in the sw united states and his wife thinks he s going insane,Plot
mild mannered man must use violence to protect his home from an invasion,Plot
aaron eckhart,Actor
must save the world from an alien invasion,Plot
benicio del toro,Actor
gets bit by an animal and transform whenever there s a full moon,Plot
cartoons mix with the real world and there s a really sexy cartoon red head,Plot
hillary swank,Actor
working woman who decides to get a law degree so she can defend her brother,Plot
natalie portman,Actor
ashton kutcher,Actor
ruin their friendship by having sex,Plot
paul newman,Actor
a pool hustler who matches his skills against,Plot
jackie gleason,Actor
movie,Origin
title,Origin
yeats poem,Origin
based on a cormac mccarthy novel,Origin
cameron diaz,Actor
an awful person with a job in a high school,Plot
jonah hill,Actor
russel brand,Actor
aging rock star and his chance for a comeback,Plot
natalie wood,Actor
warren beatty,Actor
kansas girl in love with him,Plot
paul rudd,Actor
steve carell,Actor
paul rudd,Actor
bring in a loser to a dinner,Plot
written by the guy that writes the family guy show,Relationship
has that big stuffed bear,Plot
musical,Genre
the education of a poor flower girl,Plot
based on shaw s pygmalion,Origin
musical,Genre
john travolta,Actor
woman and deals with integration on a 1960 s teen dance tv show,Plot
musical,Genre
shakespeare s romeo and juliet,Origin
musical,Genre
robert deniro,Actor
liza minnelli,Actor
musical,Genre
barbra streisand,Actor
based on the life of broadway star fanny brice,Origin
2010,Year
computer animated,Genre
super intelligent alien discovers that after defeating his lifelong enemy his evil is valueless without a hero to fight and in turn creates another to challenge him,Plot
alfred hitchcock,Director
janet leigh,Actor
has the,Plot
famous,Opinion
shower scene,Plot
mystery,Genre
nick and nora charles,Character_Name
reveal the identity of the murderer,Plot
classic,Opinion
science fiction,Genre
steven spielberg,Director
with the arrival of aliens on earth,Plot
dr seuss,Origin
an elephant and a speck on a flower,Plot
steve mcqueen,Actor
participates in a prison break from a nazi pow camp in world war ii,Plot
a girl and she falls for a man,Plot
based on the jane austen novel,Origin
shakespeare,Character_Name
he falls for a girl,Plot
marvel superhero who carried a hammer,Plot
clint eastwood,Actor
tracks down union soldiers who murdered his wife and kid,Plot
where everyone is talking about a nonexistent criminal mastermind,Plot
kaiser sosa,Character_Name
paul newman,Actor
imprisoned in the south and forced to work on a chain gang,Plot
peter fonda,Actor
plays a character named,Plot
captain america,Character_Name
and rides a motorcycle across the country,Plot
little girl who has buttons sown on her eyes by her mom,Plot
tim burton,Director
disney,Director
tale of the sorcerer s apprentice,Plot
mickey mouse,Character_Name
playing the apprentice,Plot
psychological thriller,Genre
natalie portman,Actor
a ballerina who is attempting to preform a famous dance,Plot
kate hepburn,Actor
bogart,Actor
float down a river,Plot
1992,Year
american crime drama,Genre
quentin tarantino,Director
harvey keitel,Actor
steve buscemi,Actor
classic,Opinion
quentin tarantino,Director
samuel l jackson,Actor
john travolta,Actor
tim burton,Director
a boy and his recently dead dog,Plot
peckinpah,Director
western,Genre
that begins with a small town getting wiped out in a shootout between authorities and thieves,Plot
documentary comedy,Genre
a film crew following around a man who wants to be a villain from horror movie,Plot
pseudo documentary comedy classic,Genre
fictional heavy metal band who sings songs like big bottom,Plot
re telling of the beauty and the beast story,Relationship
road trip,Plot
a mismatched pair travel across the country for the birth of a child,Plot
sam raimi,Director
bruce campbell,Actor
has to take a chainsaw to his own possessed hand,Plot
scorsese,Director
masterpiece,Opinion
loosely based on the life of boxer jake lamotta,Origin
comedy,Genre
cary grant,Actor
katherine hepburn,Actor
a dinosaur skeleton falling apart,Plot
screwball masterpiece,Opinion
second movie in the series,Relationship
a group of weird looking but lovable creatures traveling across some mythical land,Plot
slasher film,Genre
early eighties,Year
concerns a mysterious killer who turns out to be a man,Plot
soderbergh,Director
chronicles a virus that sweeps over the world and the effort to combat it,Plot
police drama,Genre
sly stallone,Actor
superhero,Genre
weakling with a strong moral character who undergoes a treatment to possess superhuman strength,Plot
suspenseful,Genre
soderbergh,Director
a virus that makes its way around the world,Plot
tarantino,Director
jamie foxx,Actor
an ex slave who teams up with a bounty hunter,Plot
violent,Genre
the doomed love between two bank robbers during the great depression,Plot
woody allen,Director
owen wilson,Actor
finds himself going back in time and meeting famous people,Plot
1920 s,Year
often thought to be the,Opinion
recorded,Opinion
1927,Year
science fiction silent film,Genre
a dystopian society in which a visionary woman is replaced by a robot double,Plot
1931,Year
crime movie,Genre
tale of a young man who reaches the top of the local criminal element,Plot
1936,Year
documentary,Genre
that uncontrolled farming in the american central region caused the dust bowl,Plot
1936,Year
documentary,Genre
pare lorenz,Director
about the uncontrolled agriculture in the u s,Plot
1937,Year
disney,Genre
classic,Opinion
adapted from the grimm fairy tale,Origin
full length animated,Genre
1937,Year
barbara stanwyck,Actor
as a working class woman who married well,Plot
1939,Year
capra,Director
james stewart,Actor
jean arthur,Actor
a fight against political corruption,Plot
1939,Year
john wayne,Actor
shows a group of people traveling with a constant threat of indians,Plot
1939,Year
victor fleming,Director
judy garland,Actor
a girl swept away to a magical land,Plot
1940,Year
classic,Opinion
a wooden puppet that wants to become a real boy,Plot
1940,Year
cary grant,Actor
newspaper editor,Plot
rosalind russell,Actor
ex wife,Plot
1940,Year
silent,Genre
charlie chaplin,Actor
omler the jewish barber,Character_Name
1943,Year
roddy mcdowell,Actor
the bond between,Plot
joe carraclough,Character_Name
and his beloved dog,Plot
1944,Year
judy garland,Actor
story of four sisters who reluctantly move to new york,Plot
1944,Year
vincente minnelli,Director
young women learning lessons of life and love as they move to new york,Plot
1946,Year
frank capra,Director
james stewart,Actor
donna reed,Actor
1946,Year
gregory peck,Actor
jane wyman,Actor
a boy who adopts a young deer,Plot
1947,Year
concerned a man who claimed to be santa claus a claim that was ultimately resolved in court,Plot
1948,Year
humphey bogart,Actor
is the story of gold prospectors digging in mexico,Plot
1948,Year
irving berlin,Director
fred astaire,Actor
judy garland,Actor
1948,Year
humphrey bogart,Actor
lauren bacall,Actor
hurricane at a tropical hotel as a backdrop,Plot
1949,Year
james cagney,Actor
a crazy criminal who breaks out of prison,Plot
1952,Year
musical,Genre
gene kelly,Actor
1953,Year
fred astaire,Actor
an artistic director hired for a new broadway musical,Plot
1954,Year
suspense,Genre
alfred hitchcock,Director
jimmy stewart,Actor
a paranoid man,Plot
1956,Year
paul newman,Actor
movie depicts him as a wanna be criminal named rocky graziano,Plot
1959,Year
billy wilder,Director
marilyn monroe tony curtis,Actor
jack lemmon,Actor
members of an all female band,Plot
1959,Year
disney,Director
fred mcmurray,Actor
a boy who has a spell cast upon him turning him into an animal,Plot
1960,Year
federico fellini opus,Director
marcello mastroianni,Actor
a paparazzo living and working in rome,Plot
1960,Year
horror film,Genre
young woman stop at the bates motel ran,Plot
norman bates,Character_Name
1961,Year
audrey hepburn,Actor
young socialite who becomes interested in a young man who moves into her building,Plot
1962,Year
john wayne,Actor
story of d day from both the allied and german points of view,Plot
1964,Year
the stalking and brutal murders of various scantily clad fashion models,Plot
1964,Year
sean connery,Actor
agent 007,Character_Name
james bond franchise,Relationship
1965,Year
woman who leaves an austrian convent to become a governess to the children of a naval officer who had been widowed,Plot
1965,Year
charlton heston,Actor
michelangelo,Character_Name
rex harrison,Actor
pope julius ii,Character_Name
1966,Year
a nurse put in charge of an actress who ca n t talk,Plot
1967,Year
academy award winning,Award
lee marvin,Actor
united states army major,Plot
1967,Year
documentary,Genre
the plight of inmates at the bridgewater state hospital for the criminally insane,Plot
1968,Year
british horror,Genre
vincent price,Actor
hunting spell casting women during the english civil war,Plot
1968,Year
sci fi horror,Genre
a group of people hiding from zombies in a farm house,Plot
1968,Year
science fiction,Genre
stanley kubrick,Director
depicted a spaceship s computer named hal 9000,Plot
1968,Year
science fiction,Genre
stanley kubrick,Director
explores the vastness of space and time,Plot
1969,Year
western,Genre
a group of aging outlaws looking for one last big score,Plot
1970,Year
korean war era army field hospital,Plot
1970,Year
americans living in rome,Plot
dario argento,Director
1970,Year
clint eastwood,Actor
telly savalas,Actor
us soldiers trying to find nazi treasure,Plot
1973,Year
baseball movie,Genre
novel by mark harris,Origin
robert de niro,Actor
1973,Year
coming of age,Genre
george lucas,Director
richard dreyfuss,Actor
ron howard,Actor
1975,Year
dario argento,Director
thriller,Genre
a medium helping a man solve a series of murders,Plot
1975,Year
drama,Genre
jack nicholson,Actor
a man that has been admitted to a mental institution,Plot
1975,Year
susan sarandon,Actor
a different set of jaws,Quote
1975,Year
terry gilliman,Director
satirical comedy,Genre
knights who say ni,Character_Name
arthur,Character_Name
1976,Year
martin scorsese,Director
robert deniro,Actor
a mentally unstable vietnam war veteran,Plot
1976,Year
dramatization of a world war ii battle that turned out to be the turning point of the war,Plot
1976,Year
sylvester stallone,Actor
won three academy awards,Award
sylvester stallone,Actor
1977,Year
gregory peck,Actor
a legendary general leading the american forces in the pacific theater during world war ii,Plot
1977,Year
science fiction,Genre
darth vader,Character_Name
1977,Year
woody allen,Director
diane keaton,Actor
best actress in a leading role oscar,Award
1978,Year
drama,Genre
michael cimino,Director
most famous,Opinion
1978,Year
john landis,Director
john belushi,Actor
a toga wearing college student in 1962,Plot
1980 s and 1990 s,Year
sci fi action,Genre
franchise,Relationship
peter keller,Actor
1980,Year
have fun stormin,Quote
the castle,Quote
mawwage,Quote
1980,Year
steven spielberg,Director
a boy named eliot trying to get his new found friend home,Plot
1980,Year
science fiction,Genre
luke skywalker han solo,Character_Name
darth vader,Character_Name
1981,Year
steven spielberg,Director
harrison ford,Actor
an archaeologist and adventurer,Plot
karen allen,Actor
as his love interest and sidekick,Plot
1982,Year
alien life form that had a fondness for a trail of reese s pieces,Plot
1982,Year
a novel writer involved in the investigation of the disappearance of a san francisco actress,Plot
1982,Year
eddie murphy,Actor
as a criminal,Plot
nick nolte,Actor
as a hard nosed cop,Plot
1983,Year
first to,Relationship
feature the adventures of the fictional griswold family,Plot
1984,Year
tom hulce,Actor
titular composer who is featured in various flashbacks,Plot
1985,Year
albert brooks,Actor
as a man who travels the country with his wife in a winnebago,Plot
1986,Year
cult classic,Opinion
david bowie,Actor
jareth the goblin king,Character_Name
jennifer connelly,Actor
sarah,Character_Name
1986,Year
science fiction thriller,Genre
sigourney weaver,Actor
oscar for best visual effects,Award
1987,Year
classic,Origin
fairy tale,Genre
cary elwes robin wright,Actor
mandy patinkin,Actor
1987,Year
stanley kubrick,Director
r lee ermey,Actor
united states marine corps drill instructor,Plot
1988,Year
dystopian anime,Genre
katsuhiro otomo,Director
a boy riding around future tokyo on a red motorcycle,Plot
1988,Year
fantasy,Genre
young dwarf who is tasked to protect a young child from evil,Plot
1988,Year
robert zemeckis,Director
bob hoskins,Actor
1990,Year
kevin costner,Actor
a solitary man at a civil war outpost who falls in love with an indian,Plot
1991,Year
keanu reeves,Actor
river phoenix,Actor
two best friends living on the streets as hustlers,Plot
1991,Year
susan sarandon,Actor
geena davis,Actor
friends who go on an epic road trip,Plot
1993,Year
angela bassett,Actor
loosely based,Origin
the life of tina turner,Plot
1994,Year
mick nichols,Director
robin williams,Actor
gay owner of a cabaret,Plot
1996,Year
coen brothers,Director
william h macy,Actor
frances mcdormand,Actor
1996,Year
coen brothers,Director
frances mcdormand,Actor
steve buscemi,Actor
1996,Year
al pacino alec baldwin kevin spacey winona ryder,Actor
penelope allen,Actor
1996,Year
paul hogan,Actor
elijah wood,Actor
centered on the relationship between a dolphin the environment and friendship,Plot
1997,Year
ian holm,Actor
adapted from the critically acclaimed novel by,Relationship
russel banks,Origin
1997,Year
documents the effects of a tragic bus accident on a small town,Plot
1998,Year
coen brothers,Director
crime comedy,Genre
jeff bridges john goodman,Actor
julianne moore,Actor
1999,Year
forrest whitaker,Actor
a mafia hit man living by the ancient code of the samurai,Plot
1999,Year
horror,Genre
a sleep study in an old mansion,Plot
catherine zeta jones,Actor
1999,Year
low budget,Opinion
horror,Genre
became a cult classic,Plot
film that three college shot while camping in the woods searching for an urban legend,Plot
1999,Year
m night shyamalan,Director
haley joel osment,Actor
a boy who can communicate with spirits,Plot
1999,Year
featured three film students who go missing after traveling into the woods,Plot
2000,Year
ang lee,Director
an academy award for its original score,Award
2000,Year
a teenager who has a terrifying vision of a plane crash,Plot
2000,Year
spawned 5 sequels,Relationship
all of which continued the tale of teenagers trying to cheat death,Plot
2000,Year
wuxia,Genre
ang lee,Director
academy award for best picture,Award
2001,Year
fantasy film,Genre
novel,Origin
tells the story frodo baggins,Plot
2001,Year
russell crowe,Actor
young prodigy who develops paranoid schizophrenia,Plot
2002,Year
action spy thriller,Genre
matt damon,Actor
jeremy renner,Actor
2002,Year
a man who delivers packages without ever asking any questions,Plot
2002,Year
adrien brody,Actor
a polish jew living in the ruins of warsaw,Plot
2002,Year
tom hanks,Actor
a hitman whose son sees what his father does for a living,Plot
2002,Year
sam mendes,Director
tom hanks,Actor
a hitman who goes on the run,Plot
2004,Year
clint eastwood,Director
hilary swank,Actor
woman who becomes a boxing professional,Plot
2004,Year
michael moore,Director
attacked the bush administration for it s handling of a major terrorist attack,Plot
2005,Year
documentary,Genre
black and white emperors was narrated,Plot
morgan freeman,Actor
2005,Year
phillip seymor hoffman,Actor
recounting the murder of a kansas family while becoming close to one of the killers,Plot
2005,Year
russell crowe,Actor
renee zellweger,Actor
the story of washed up boxer james braddock,Plot
2006,Year
brad pitt,Actor
four families in morocco and around the world,Plot
2007,Year
michael bay,Director
shia labeouf,Actor
megan fox,Actor
autobots and decepticons,Plot
2009,Year
adrien brody,Actor
sarah polley,Actor
genetic engineers who create an animal and human hybrid,Plot
2009,Year
wes anderson,Director
children,Genre
bill murray,Actor
meryl streep,Actor
2010,Year
adam sandler,Actor
shows the playful side of adults in a camp like setting,Plot
2010,Year
comedy,Genre
reese witherspoon,Actor
owen wilson,Actor
a young executive in his father s company accused of corporate malfeasance,Plot
2010,Year
comedy,Genre
jackie chan,Actor
bob ho,Character_Name
spy on loan to the cia,Plot
2010,Year
disney,Genre
nicholas cage,Actor
balthazar blake,Character_Name
searches for the right person to inherit wizard merlin s powers,Plot
2010,Year
the story of a bullied boy who befriends a vampire in los alamos,Plot
2010,Year
amanda seyfried,Actor
a book,Origin
2010,Year
queen latifah,Actor
a physical terapist who falls in love with a basketball player,Plot
2010,Year
horror,Genre
remake of the swedish horror film let the right on in,Relationship
2010,Year
julia roberts,Actor
a woman who has it all but is n t happy,Plot
2010,Year
tanner maguire,Actor
a young boy fighting cancer while inspiring hope in everyone he comes in contact,Plot
2010,Year
nicholas cage,Actor
sorcerer searching for the person who would inherit merlin s powers,Plot
2010,Year
robert downey jr,Actor
on a hilarious road trip,Plot
2010,Year
tom cruise,Actor
cameron diaz,Actor
spy and single girl respectively,Plot
2010,Year
bruce willis,Actor
helen mirren,Actor
retired black ops agents forced to come out of retirement,Plot
2010,Year
zac efron,Actor
young man who sees his dead brother,Plot
2010,Year
man coming to the realization that he was the sperm donor for his best friend s son,Plot
2010,Year
zack galifianakis,Actor
bobby,Character_Name
patient in a hospital s psychiatric floor,Plot
2010,Year
man who struggles to make payments on the heart he purchased,Plot
2010,Year
live action,Genre
2010,Year
a bullied boy befriending a girl vampire who lives in secrecy,Plot
2010,Year
queen latifah,Actor
a physical therapist falling in love with a basketball player,Plot
2010,Year
katherine heigl,Actor
josh duhamel,Actor
two friends who become the caretaker of an orphaned girl,Plot
2010,Year
steve antin,Director
2010,Year
post apocalyptic,Genre
denzel washington,Actor
blind man carrying the bible around,Plot
2010,Year
post apocalyptic,Genre
hughes brothers,Director
2010,Year
romantic comedy,Genre
mark steven johnson,Director
kristen bell,Actor
an art curator,Plot
2010,Year
romantic comedy,Genre
jason bateman,Actor
jennifer anniston,Actor
he switches her sperm samples,Plot
2010,Year
romantic comedy,Genre
queen latifah,Actor
common,Actor
as,Plot
2010,Year
scifi western,Genre
jon favreau,Director
based on a 2006 graphic novel,Origin
2010,Year
thriller,Genre
greg,Director
colin strause,Director
alien invasion and abduction,Plot
2010,Year
tyler perry,Director
janet jackson,Actor
story collection of twenty poems,Plot
2011,Year
action adventure,Genre
an underwater cave diving team experiencing a life threatening crisis,Plot
2011,Year
adam sandler,Actor
2011,Year
comedy,Genre
jason bateman jason sudeikis,Actor
charlie day,Actor
friends plotting against their employers,Plot
2011,Year
comedy,Genre
elizabeth banks zooey deschanel,Actor
emily mortimer,Actor
paul rudd,Actor
2011,Year
jason bateman,Actor
ryan reynolds,Actor
friends who accidentally swap bodies,Plot
2011,Year
documentary,Genre
jon chu,Director
followed a canadian pop star and included footage from his 2010 concert tour,Plot
2011,Year
title character going up against international assassins hunting down a chinese premier,Plot
2011,Year
four police officers struggling with their faith and roles as fathers and husbands after a tragedy occurs,Plot
2011,Year
a teenager suspects his new neighbor of being a vampire,Plot
2011,Year
johnny depp,Actor
based on work of the same name by hunter s thompson,Origin
2011,Year
rachel weisz,Actor
daniel craig,Actor
playing a married couple,Plot
2011,Year
short story by philip k dick,Origin
matt damon,Actor
2011,Year
john singleton,Director
taylor lautner,Actor
a man who must uncover the truth about his life,Plot
2011,Year
johnny depp,Actor
an american journalist living in puerto rico,Plot
2011,Year
craig brewer,Director
takes place largely in a town where dancing and rock music have been outlawed,Plot
2011,Year
rod lurie,Director
set in the deep south,Plot
alexander skarsg rd,Actor
charlie,Character_Name
2011,Year
ginnifer goodwin,Actor
kate hudson,Actor
friends with issues and secrets,Plot
2011,Year
hank azaria,Actor
group of tiny blue people trying to get home,Plot
2011,Year
natalie portman,Actor
ashton cutcher,Actor
a couple who make a pact to have sex without having a relationship,Plot
2011,Year
nicolas cage,Actor
johnny blaze,Character_Name
on a quest to stop the devil,Plot
2011,Year
prequel,Relationship
john carpenter,Director
an alien that morphs into various incarnations,Plot
2011,Year
bethany hamilton,Character_Name
girl who had her arm bitten of by a tiger shark,Plot
2011,Year
the love affair between a politician and a ballerina and the mysterious forces keeping them apart,Plot
2011,Year
romantic fantasy,Genre
a retelling of beauty and the beast in modern new york city,Plot
2011,Year
steven spielberg,Director
world war,Genre
jeremy irvine david thewlis,Actor
emily watson,Actor
2011,Year
superhero,Genre
ryan reynolds,Actor
titular character who is given an extraordinary ring that grants him the power to create anything he desires,Plot
2011,Year
superhero,Genre
chris hemsworth,Actor
the titular god of thunder who later becomes a member of the avengers,Plot
2012,Year
action,Genre
joseph gordon levitt,Actor
bike messenger being chased through manhattan,Plot
2012,Year
ang lee,Director
young man who survives a disaster at sea,Plot
2012,Year
animated,Genre
pixar,Director
julie walters,Actor
mark andrews,Director
brenda chapman,Director
2012,Year
first movie in the trilogy series,Relationship
based on novels written by suzanne collins,Origin
2012,Year
comedy film,Genre
kristin wiig,Actor
maya rudolph,Actor
2012,Year
crime thriller,Genre
oliver stone,Director
john travolta,Actor
corrupt dea agent,Plot
2012,Year
disney nature documentary,Genre
a 3 year old animal in the wild,Plot
tim allen,Actor
2012,Year
marvel,Origin
iron man captain america,Character_Name
thor,Character_Name
2012,Year
blake lively,Actor
but indecisive girl living with two pot growing men that get on the wrong side of a kingpin s wife,Plot
salma hayek,Actor
2012,Year
alternate history of the u s s 16 th president,Plot
based on a book of the same name,Origin
2012,Year
tyler perry,Actor
a detective who is hunting a brutal serial killer,Plot
2012,Year
horror,Genre
a couple haunted by a supernatural presence that is unleashed during a college experiment,Plot
2012,Year
jason moore,Director
anna kendrick,Actor
collegiate freshman joining her school s all girls singing group,Plot
2012,Year
billy crystal,Actor
bette midler,Actor
grandparents looking after their three granchildren,Plot
2012,Year
depicts learning how to survive big wave riding in santa cruz california,Plot
2012,Year
bill condon,Director
concluded a saga,Relationship
based on a popular series of books by author stephanie meyer,Origin
2012,Year
struggling screenwriter who gets caught up in the los angeles criminal underworld,Plot
2012,Year
an aging male stripper teaching a newcomer how to make easy money,Plot
2012,Year
ben stiller vince vaughn,Actor
jonah hill,Actor
neighbors who ban together to save earth from alien invasion,Plot
2012,Year
julia roberts,Actor
an evil queen who steals control of a kingdom,Plot
2012,Year
two determined mothers looking to transform their children s inner city school,Plot
2012,Year
zac efron,Actor
a united states marine who travels to louisiana,Plot
2012,Year
remake,Relationship
cops going undercover as high school students,Plot
2012,Year
remake,Relationship
based off of a tv show,Origin
johnny depp,Actor
2012,Year
johnny depp,Actor
barnabas collins,Character_Name
based off a tv show,Origin
2012,Year
channing tatum,Actor
jonah hill,Actor
underachieving cops sent to go undercover at a high school,Plot
2012,Year
thriller,Genre
elisabeth shue,Actor
being a mother,Plot
jennifer lawrence,Actor
in a new town,Plot
2012,Year
action,Genre
taylor kitsch,Actor
2012,Year
robert zemekis,Director
denzel washington,Actor
commercial pilot who also is an alcoholic,Plot
2012,Year
tyler perry,Director
how a businessman is transformed by meeting and learning about an office cleaning crew member,Plot
2012,Year
western,Genre
jonah hill,Actor
leonardo dicaprio,Actor
set during the antebellum era of the united states,Plot
40 s,Year
a young boy home from charter school taking care of an injured horse,Plot
50 s,Year
90 s,Year
romantic comedy,Genre
tom hanks,Actor
meg ryan,Actor
rob reiner,Director
action adventure,Genre
televised competition to the death to be fought out by a representative teenager chosen at random,Plot
action,Genre
sly stallone,Actor
action,Director
sylvester stallone jet li dolph lundgren randy cotor terry crews jason statham,Actor
arnold schwarzenegger,Actor
adam sandler,Actor
plays two parts,Plot
adaptation of a shakespeare movie,Origin
talking to the skull of the deceased horatio,Plot
alfred hitchcock,Director
classic,Opinion
a businessman who is pursued across the country by mistake,Plot
alfred hitchcok,Director
horror,Genre
animated,Genre
2010,Year
hiromasa yonebayashi,Director
about the daughter of a family of borrowers,Plot
animated children,Genre
a quirky and curious robot tasked to clean up the over polluted earth,Plot
animated classic,Genre
mickey mouse,Character_Name
as a magical assistant who finds himself way over his head,Plot
animated,Genre
disney,Director
classic,Opinion
a love story between a bookworm and a prince who has a cursed appearance,Plot
animated,Genre
tom hanks,Actor
woody,Character_Name
animated film,Genre
cowboy astronaut dinosaur slinky dog and a,Plot
mr potato head,Character_Name
animated,Genre
disney,Director
famous,Opinion
fantasia,Character_Name
animated,Genre
mandy moore,Actor
repunzal type character,Plot
animated film,Genre
music of the famous british rock group the beatles,Plot
animated,Genre
dreamworks,Director
food falling from the sky,Plot
based on a book,Origin
animated film,Genre
pixar studios,Director
albert brooks,Actor
a fish looking for his son,Plot
animated,Genre
fun,Opinion
an adopted bear following his dream to become the next great ninja warrior,Plot
animated,Genre
jack black,Actor
animated,Genre
clownfish who sets out to get his son back after he is kidnapped,Plot
animated,Genre
disney,Director
black princess and an unlikely amphibian lover,Plot
animated,Genre
sequel,Relationship
pixar,Director
the adventures of the first film s characters as they travel the world,Plot
audrey hepburn,Actor
classic,Opinion
adrian brody,Actor
a talented piano player whose dreams of success are put on hold due to the nazi holocaust,Plot
award winning,Award
characters are intertwined throughout the film,Plot
children,Genre
pug and cat as best friends and a host of animal abuse allegations,Plot
epic capsized the competition,Opinion
dazzling special effects,Opinion
great love story,Opinion
leonardo dicaprio,Actor
kate winslet,Actor
biographical sports,Genre
martin scorsese,Director
robert de niro,Actor
joe pesci,Actor
biological sports,Genre
martin scorsese,Director
robert de niro,Actor
troubled boxer,Plot
cult classic,Genre
kevin smith,Director
story of,Plot
dante,Character_Name
an employee at a new jersey convenience store,Plot
british comedy,Genre
funniest movie of all time,Opinion
horror,Genre
suspense,Genre
charming,Opinion
musical family,Genre
a delightful british nanny as she teaches young children how to enjoy life as well as grow up,Plot
children s animated,Genre
princess jasmine,Character_Name
